run,pasm_mode,t_s,a_lat_kin_g,roll_angle_deg
2,Sport+,1030.88,-0.919244,2.46686
2,Sport+,1030.92,-0.909073,1.19745
2,Sport+,1030.96,-0.897605,-0.0907781
2,Sport+,1031.44,-0.607472,-11.6486
2,Sport+,1031.48,-0.605712,-10.9373
2,Sport+,1031.52,-0.614873,-8.97283
2,Sport+,1031.96,-0.84011,-1.55061
2,Sport+,1032,-0.846021,-1.81689
2,Sport+,1032.04,-0.846466,-0.805568
2,Sport+,1032.08,-0.845682,0.863869
2,Sport+,1032.12,-0.841431,2.03457
2,Sport+,1032.16,-0.83393,1.87136
2,Sport+,1032.2,-0.825353,0.395057
2,Sport+,1032.24,-0.818453,-1.66276
2,Sport+,1032.28,-0.812756,-3.69813
2,Sport+,1032.32,-0.807557,-5.07282
2,Sport+,1032.36,-0.802402,-5.70472
2,Sport+,1032.4,-0.802513,-5.58466
2,Sport+,1032.44,-0.798544,-5.74029
2,Sport+,1032.48,-0.795047,-4.95672
2,Sport+,1032.52,-0.797685,-3.19676
2,Sport+,1032.56,-0.804335,-0.932212
2,Sport+,1032.68,-0.844399,1.23989
2,Sport+,1032.72,-0.852385,-1.05363
2,Sport+,1032.88,-0.794788,-5.70464
2,Sport+,1032.92,-0.796537,-3.27248
2,Sport+,1033.12,-0.907315,0.00444417
2,Sport+,1033.16,-0.910999,-0.642092
2,Sport+,1033.4,-0.790628,-4.81607
2,Sport+,1033.6,-0.876467,-2.20775
2,Sport+,1033.64,-0.874122,-2.32766
2,Sport+,1033.84,-0.774183,-6.59118
2,Sport+,1033.88,-0.773527,-7.41556
2,Sport+,1034.04,-0.846531,-1.4692
2,Sport+,1034.08,-0.84602,-2.12697
2,Sport+,1034.16,-0.821116,-3.87682
2,Sport+,1034.2,-0.813155,-3.52536
2,Sport+,1034.4,-0.898958,-1.62751
2,Sport+,1034.44,-0.90491,-2.59343
2,Sport+,1034.48,-0.902591,-3.33844
2,Sport+,1034.52,-0.898997,-3.01151
2,Sport+,1034.56,-0.897095,-1.51799
2,Sport+,1034.6,-0.898113,0.0173237
2,Sport+,1034.64,-0.904877,1.08248
2,Sport+,1034.68,-0.914469,1.6785
2,Sport+,1034.72,-0.924203,1.60323
2,Sport+,1034.76,-0.928325,1.03815
2,Sport+,1034.8,-0.924041,0.0514959
2,Sport+,1034.96,-0.871611,-5.76185
2,Sport+,1035,-0.870417,-6.45053
2,Sport+,1035.12,-0.909664,-2.89037
2,Sport+,1035.16,-0.918025,-2.82145
2,Sport+,1035.6,-0.662963,-11.7788
2,Sport+,1035.64,-0.657734,-10.4195
2,Sport+,1035.68,-0.660484,-8.77861
